2015,2015_CFB_T1,2015_CFB_T2,2015_CFB_T3,2015_CFB_T4,2015_CFB_T5,2015_DBS_T1,2015_DBS_T2,2015_DBS_T3,2015_DBS_T4,2015_DBS_T5,2015_HBH_T1,2015_HBH_T2,2015_HBH_T3,2015_HBH_T4,2015_HBH_T5,2015_HW_T1,2015_HW_T2,2015_HW_T3,2015_HW_T4,2015_HW_T5,2015_JLS_T1,2015_JLS_T2,2015_JLS_T3,2015_JLS_T4,2015_JLS_T5,2015_LDS_T1,2015_LDS_T2,2015_LDS_T3,2015_LDS_T4,2015_LDS_T5,2015_LK_T1,2015_LK_T2,2015_LK_T3,2015_LK_T4,2015_LK_T5,2015_OUT_T1,2015_OUT_T2,2015_OUT_T3,2015_OUT_T4,2015_OUT_T5,2015_TS_T1,2015_TS_T2,2015_TS_T3,2015_TS_T4,2015_TS_T5,2015_WLT_T1,2015_WLT_T2,2015_WLT_T3,2015_WLT_T4,2015_WLT_T5
21,6.24245999701868,6.23610010058582,5.04192667242463,5.72104720736803,5.08435935008129,6.00321003590389,4.48625270549016,4.51050026116007,4.70497747882607,4.21346750641587,4.13251420792425,6.06754182571765,6.18251798382442,5.87922723547278,6.28527103853384,6.38708189204767,6.33848819121259,6.79918383631924,7.51477050914362,6.87192515925184,3.28697015160127,6.21405293238834,6.7895270950114,6.89297513688853,8.05544531419405,3.4927714287783,4.76676450607129,5.78794075538743,3.97474322058013,2.89224292687787,5.39589071192476,4.05651108645395,4.94780868255678,5.54803366642786,5.64035288288212,4.38155192984006,6.38862503118842,4.66546696524293,6.15638709897194,5.29331827829261,5.34491243877021,4.97563571300095,6.25567955847686,5.66171874398442,5.12191548593433,5.64686892251279,4.90662858706763,5.89520509305463,4.90026861018372,5.37955193987887
22,6.2182128908097,6.08455563498508,5.17538586078638,5.73923258143239,5.25418934666476,6.07595215558905,4.47412892657881,4.49231459467674,4.82025259477824,4.14072472530793,4.16292306186522,6.07360366453278,6.04905818494442,5.91559829910996,6.12150212230402,6.41739084071882,6.33242639950215,6.81130739193519,7.43596765543906,6.84161627783583,3.47498840486331,6.25648563609461,6.76527989992434,7.29295386589855,8.11000115549199,3.46246182458709,4.79111141049491,5.58173829314166,4.02930036844593,2.98327135512592,5.23212076916176,3.86243049585211,5.09299571492127,5.51772433440741,5.69490964462852,4.54542173403009,6.46146639941576,4.73830894624301,6.17457262049579,5.19632839423577,5.43593964564271,5.06666308397835,6.2011230823496,5.54038238448026,5.18253411122256,5.48916188238873,4.82176262925956,5.91339056310006,5.0397905577229,5.54948210678182
23,6.14547155496153,5.96928239263142,5.21811663242757,5.7089236237615,4.9267522173319,6.2275975296877,4.44372010090631,4.3345066669058,4.99614639668901,4.09819204897587,4.12645231166432,5.90377273541186,5.98834040701006,5.86094232672393,5.97591860079599,6.30211743825917,6.36273535626044,6.87798693499689,7.55720280242783,6.85373983094039,3.55379304425185,6.45652540659916,6.68647649606925,7.16565637252442,8.18274225462082,3.41386707276976,4.8153589369222,5.5392059040209,4.04758545664691,2.86183385777174,5.27455389189947,3.90486390233683,5.20220889047423,5.390425090947,5.73734267149638,4.7332408147063,6.15211399805175,4.68365261913308,6.18063446064497,5.22663773793689,5.42381593701877,5.18790034931816,6.15869025753814,5.78295565712438,5.37055111030036,5.44662965418126,4.99765573457937,5.81640137086782,5.07626102264411,5.45239336786686
24,6.02423593781031,6.05424672841081,5.05444779133591,5.76347974434006,5.08435935008129,6.01533372431199,4.59546605858161,4.04939871081082,4.90521826371249,4.1952818135608,4.13857610400478,5.90983457907348,5.87306601640278,5.93984567128025,6.01835148771479,6.55084953512398,6.28393205936072,7.10276937776866,7.66035199394472,7.02963064362091,3.48105030127731,6.71718299625838,6.61373486560272,7.2565831615782,8.22517455051729,3.52914294788742,4.8153589369222,5.59386200991841,3.98080512661616,2.69190074142448,5.25636826894539,4.00195388832232,5.12370261001946,5.54197180038256,5.78583754858182,4.84851593237355,5.7638576889479,4.53200607882033,5.93806134020871,5.02649661164169,5.43593964564271,5.03625438157939,6.03129235599404,5.97097210508055,5.38873667769612,5.68930173488476,4.91885166708695,5.77386921060874,4.88814490370173,5.39167561727539
25,5.99998880576941,6.23003832411444,5.06050960259735,5.71498541565446,4.96312310488388,5.91218297542855,4.6136517159068,4.25560265742778,4.96583702351508,4.128600925945,4.24172768521961,5.95842869636959,5.81244756083285,5.81850940719711,5.93338633061371,6.52660239234367,6.41132905134336,7.07206303740061,7.93929179216435,7.10237188471887,3.46892650826991,6.97784025423216,6.65616748651413,7.58391926798107,8.2130510383009,3.62633238529534,4.76676450607129,5.6181094413192,4.05970926422805,2.63724386117169,5.12300698461512,3.98983006454187,4.99024186419221,5.51772433440741,5.93738396547459,4.98803848801333,5.74567213096059,4.64121942421116,5.87704536056116,4.99608786332373,5.46018706073787,5.12728172561802,5.8857088535557,6.32275717314402,5.3159943984258,5.7863903615088,4.9370372238146,5.66465691752803,5.0397905577229,5.42238230517587
26,6.12122443727171,6.26640898025186,5.06050960259735,5.64224390109919,5.12689139286911,5.83337894826574,4.64396114119415,4.0918320218494,4.99008452241301,4.06182064118178,4.39953559140773,5.84921613438467,5.81850940719711,5.86094232672393,5.99410412483754,6.69643170499154,6.39920547205429,7.12661895934458,7.90292132344283,7.04781595631708,3.51742167599384,7.23233602177697,6.7895270950114,7.2990156493241,8.66142176677235,3.62027046876867,4.67573687042671,5.56345334189161,4.01111465410528,2.64330580679156,5.16544012995665,3.94123538661275,5.06268631556895,5.58440485893241,6.0161880579491,4.98803848801333,5.50906098069707,4.63515753850472,5.79208008175301,5.02033536234717,5.36915986464076,5.01200691630076,5.83115227889015,6.207483036599,5.35842739780622,5.82882314497815,4.97947018323359,5.04585240656575,5.24609206668477,5.33105722311709
27,6.1575951127301,6.16335877108974,5.14537494142114,5.58162595257013,5.30874558835911,5.63920092596885,4.70467935344209,3.94008569106267,4.80812883563597,4.06182064118178,4.47237761288689,5.78243644996069,5.69111122128455,5.95803119852436,5.91520080118161,6.78735840023206,6.39314368214067,7.26007719166837,8.00597096804851,7.09631011561399,3.42639385171671,7.6868700421342,6.82589788226039,7.07482891671533,8.90985370709208,3.71090107091675,4.68179875571707,5.57567643448419,4.21771619905079,2.80727639894189,5.23818264437676,3.98983006454187,5.06268631556895,5.44498191926016,6.02224990996063,5.09725159025559,5.19970714096882,4.73214768827998,6.18033633736313,5.10530096127423,5.44806335354907,4.88460830157116,5.80084306446392,6.26213888528946,5.29174696626175,5.71354905229355,4.89450488096209,4.99129576052181,5.40379929395432,5.39773745570455
28,6.2000275592694,5.99352952830715,5.27873468853302,5.53919337792602,5.50888439065562,5.40268906367572,4.69245621232521,3.96443268687449,4.73528689059976,4.09819204897587,4.59371467437208,5.64897639041053,5.87922723547278,5.83669494521353,5.74536974072827,6.81766728967629,6.39314368214067,7.28432424762646,7.99990922568321,7.15692779859058,3.4628646114971,7.38388059844655,6.71678550113971,7.15959458515243,8.79468069702138,3.4378166349222,4.70008378567012,5.6120475837381,4.27237265756581,2.7344337217847,5.292739513239,3.91698773114641,5.05056255457225,5.43285818089078,6.10105396978598,4.98803848801333,5.01765223759647,4.79286588366831,6.54424516706204,5.17814278586235,5.53292928880157,4.83611333224079,5.75234831205359,6.05593719804349,5.425107807644,5.56190389707887,5.00371758466917,4.90026861018372,5.24609206668477,5.39773745570455
29,6.23639822073552,5.95109703899103,5.44250272417944,5.54525517484192,5.51494618846848,5.29953800627782,4.60152794453608,3.81874817082535,4.70497747882607,4.11637775045101,4.73323729996381,5.67332316874158,5.70929677061149,5.84881863632751,5.53916741544793,6.79342017847968,6.42345262991488,7.35100363671212,7.88473608666045,7.12661895934458,3.52348357115202,7.12928564560172,6.78346529650872,7.15353279760106,8.60686607233182,3.52278290129603,4.74857885720556,5.50889660264616,4.24206316873611,2.69190074142448,5.292739513239,3.87455432717333,5.10511947340643,5.54803366642786,6.10711581928604,4.94560535614805,4.85388218627087,4.97492098682972,7.27802332073451,5.31756574213103,5.50868188231729,4.86642268941775,5.54614611161916,5.8739826693344,5.54644423543228,5.54978022975778,4.96128463027325,4.67578117460949,5.20365916249884,5.42844414269631
30,6.25458354904684,5.8844173951633,5.44856452395679,5.56950236071163,5.53919337792602,5.31166173633443,4.71074123616445,3.9704945915042,4.69891559593314,4.0678825429293,4.86063608163415,5.64291453902918,5.59402222296858,5.70293679725998,5.42389277206186,6.7691730644129,6.36273535626044,7.56326455789376,8.02415619406814,7.15692779859058,3.55379304425185,7.0869524962968,6.8622686630515,7.06270533641632,8.34024850779482,3.71090107091675,4.82142081808053,5.5392059040209,4.17528290211059,2.58874828975402,5.23818264437676,3.8260589975828,5.05096005494417,5.61471418108622,6.04619919238292,4.92732035047962,4.73254518879931,5.0294778612338,7.31439416301282,5.32978884781388,5.62395641212081,4.72690023426671,5.6310120062347,5.86792082807544,5.43116966200744,5.62868342880535,4.97340833242621,4.63334815227822,5.28246312041919,5.39773745570455
